name,species,family,habitat,place_of_found,diet,description,weight_kg,image
Bald Eagle,Haliaeetus leucocephalus,Accipitridae,"Forests, Coasts, and Lakes",North America,Carnivore,The bald eagle is a powerful bird of prey known for its white head and tail feathers.,6.3,https://fakeimg.pl/500x500/cc7701
Peacock,Pavo cristatus,Phasianidae,Forests and Grasslands,India,Omnivore,The peacock is a large and colorful bird known for its extravagant tail feathers.,4.5,https://fakeimg.pl/500x500/cc7702
Hornbill,Bucerotidae,Bucerotidae,Forests and Woodlands,"Africa, Asia",Omnivore,"Hornbills are medium-sized birds known for their large, curved bills.",2.7,https://fakeimg.pl/500x500/cc7703
Hummingbird,Trochilidae,Trochilidae,Tropical and Subtropical Regions,Americas,Nectar and Insects,"Hummingbirds are small, colorful birds known for their rapid wing beats and hovering abilities.",0.0025,https://fakeimg.pl/500x500/cc7704
Penguin,Spheniscidae,Spheniscidae,Antarctica,Antarctic Region,Carnivore,Penguins are flightless birds known for their distinctive black and white plumage.,25.0,https://fakeimg.pl/500x500/cc7705
Toucan,Ramphastidae,Ramphastidae,Rainforests,Central and South America,Fruits and Insects,"Toucans are brightly colored birds known for their large, colorful bills.",0.5,https://fakeimg.pl/500x500/cc7706
Albatross,Diomedeidae,Diomedeidae,Oceanic Regions,Southern Ocean,Carnivore,Albatrosses are large seabirds known for their long wingspans and impressive gliding abilities.,8.5,https://fakeimg.pl/500x500/cc7707
Flamingo,Phoenicopteridae,Phoenicopteridae,Saltwater and Brackish Lakes,"Africa, Americas",Omnivore,Flamingos are large wading birds known for their vibrant pink plumage and distinctive hooked bills.,2.5,https://fakeimg.pl/500x500/cc7708
Ostrich,Struthio camelus,Struthionidae,Grasslands and Deserts,Africa,Omnivore,Ostriches are flightless birds known for being the largest and fastest birds on land.,135.0,https://fakeimg.pl/500x500/cc7709
Snowy Owl,Bubo scandiacus,Strigidae,Arctic Tundra,Arctic Region,Carnivore,"Snowy owls are large, white owls known for their excellent hunting skills in snowy environments.",2.5,https://fakeimg.pl/500x500/cc7710
Toucanet,Aulacorhynchus,Ramphastidae,Rainforests,Central and South America,Fruits and Insects,"Toucanets are small, colorful birds related to toucans and known for their vibrant plumage.",0.2,https://fakeimg.pl/500x500/cc7711
